r1_file	r2_file	status	read_pairs
./LBM01A02/LBM01A02_R1.fastq.gz	./LBM01A02/LBM01A02_R2.fastq.gz	OK	44899469
./LBM01A03/LBM01A03_R1.fastq.gz	./LBM01A03/LBM01A03_R2.fastq.gz	OK	39371035
./LBM01A09/LBM01A09_R1.fastq.gz	./LBM01A09/LBM01A09_R2.fastq.gz	OK	37727474
./LBM01A12/LBM01A12_R1.fastq.gz	./LBM01A12/LBM01A12_R2.fastq.gz	OK	37206904
./LBM01B01/LBM01B01_R1.fastq.gz	./LBM01B01/LBM01B01_R2.fastq.gz	OK	51748359
./LBM01B02/LBM01B02_R1.fastq.gz	./LBM01B02/LBM01B02_R2.fastq.gz	OK	38382947
./LBM01B03/LBM01B03_R1.fastq.gz	./LBM01B03/LBM01B03_R2.fastq.gz	OK	43025990
./LBM01B05/LBM01B05_R1.fastq.gz	./LBM01B05/LBM01B05_R2.fastq.gz	OK	40189039
./LBM01B06/LBM01B06_R1.fastq.gz	./LBM01B06/LBM01B06_R2.fastq.gz	OK	43575726
./LBM01B07/LBM01B07_R1.fastq.gz	./LBM01B07/LBM01B07_R2.fastq.gz	OK	38169075
./LBM01B08/LBM01B08_R1.fastq.gz	./LBM01B08/LBM01B08_R2.fastq.gz	OK	41861547
./LBM01B09/LBM01B09_R1.fastq.gz	./LBM01B09/LBM01B09_R2.fastq.gz	OK	33576134
./LBM01B10/LBM01B10_R1.fastq.gz	./LBM01B10/LBM01B10_R2.fastq.gz	OK	41002253
./LBM01B12/LBM01B12_R1.fastq.gz	./LBM01B12/LBM01B12_R2.fastq.gz	OK	27162284
./LBM01C01/LBM01C01_R1.fastq.gz	./LBM01C01/LBM01C01_R2.fastq.gz	OK	49508995
./LBM01C02/LBM01C02_R1.fastq.gz	./LBM01C02/LBM01C02_R2.fastq.gz	OK	52216334
./LBM01C03/LBM01C03_R1.fastq.gz	./LBM01C03/LBM01C03_R2.fastq.gz	OK	41636166
./LBM01C04/LBM01C04_R1.fastq.gz	./LBM01C04/LBM01C04_R2.fastq.gz	OK	78153330
./LBM01C05/LBM01C05_R1.fastq.gz	./LBM01C05/LBM01C05_R2.fastq.gz	OK	48117507
./LBM01C06/LBM01C06_R1.fastq.gz	./LBM01C06/LBM01C06_R2.fastq.gz	OK	29556656
./LBM01C08/LBM01C08_R1.fastq.gz	./LBM01C08/LBM01C08_R2.fastq.gz	OK	40450449
./LBM01C09/LBM01C09_R1.fastq.gz	./LBM01C09/LBM01C09_R2.fastq.gz	OK	39942150
./LBM01C10/LBM01C10_R1.fastq.gz	./LBM01C10/LBM01C10_R2.fastq.gz	OK	45358726
./LBM01C12/LBM01C12_R1.fastq.gz	./LBM01C12/LBM01C12_R2.fastq.gz	OK	41971609
./LBM01D01/LBM01D01_R1.fastq.gz	./LBM01D01/LBM01D01_R2.fastq.gz	OK	43946060
./LBM01D03/LBM01D03_R1.fastq.gz	./LBM01D03/LBM01D03_R2.fastq.gz	OK	48708504
./LBM01D05/LBM01D05_R1.fastq.gz	./LBM01D05/LBM01D05_R2.fastq.gz	OK	46368584
./LBM01D06/LBM01D06_R1.fastq.gz	./LBM01D06/LBM01D06_R2.fastq.gz	OK	43944141
./LBM01D09/LBM01D09_R1.fastq.gz	./LBM01D09/LBM01D09_R2.fastq.gz	OK	35677801
./LBM01D10/LBM01D10_R1.fastq.gz	./LBM01D10/LBM01D10_R2.fastq.gz	OK	40649449
./LBM01D11/LBM01D11_R1.fastq.gz	./LBM01D11/LBM01D11_R2.fastq.gz	OK	34095597
./LBM01D12/LBM01D12_R1.fastq.gz	./LBM01D12/LBM01D12_R2.fastq.gz	OK	35210929
./LBM01E01/LBM01E01_R1.fastq.gz	./LBM01E01/LBM01E01_R2.fastq.gz	OK	45661910
./LBM01E02/LBM01E02_R1.fastq.gz	./LBM01E02/LBM01E02_R2.fastq.gz	OK	37908162
./LBM01E03/LBM01E03_R1.fastq.gz	./LBM01E03/LBM01E03_R2.fastq.gz	OK	54599947
./LBM01E04/LBM01E04_R1.fastq.gz	./LBM01E04/LBM01E04_R2.fastq.gz	OK	45969678
./LBM01E06/LBM01E06_R1.fastq.gz	./LBM01E06/LBM01E06_R2.fastq.gz	OK	47088839
./LBM01E08/LBM01E08_R1.fastq.gz	./LBM01E08/LBM01E08_R2.fastq.gz	OK	33195101
./LBM01E09/LBM01E09_R1.fastq.gz	./LBM01E09/LBM01E09_R2.fastq.gz	OK	41597200
./LBM01E12/LBM01E12_R1.fastq.gz	./LBM01E12/LBM01E12_R2.fastq.gz	OK	42879441
./LBM01F01/LBM01F01_R1.fastq.gz	./LBM01F01/LBM01F01_R2.fastq.gz	OK	39866055
./LBM01F02/LBM01F02_R1.fastq.gz	./LBM01F02/LBM01F02_R2.fastq.gz	OK	44628102
./LBM01F03/LBM01F03_R1.fastq.gz	./LBM01F03/LBM01F03_R2.fastq.gz	OK	53869372
./LBM01F05/LBM01F05_R1.fastq.gz	./LBM01F05/LBM01F05_R2.fastq.gz	OK	42494783
./LBM01F06/LBM01F06_R1.fastq.gz	./LBM01F06/LBM01F06_R2.fastq.gz	OK	39886705
./LBM01F07/LBM01F07_R1.fastq.gz	./LBM01F07/LBM01F07_R2.fastq.gz	OK	34196724
./LBM01F09/LBM01F09_R1.fastq.gz	./LBM01F09/LBM01F09_R2.fastq.gz	OK	45292795
./LBM01F10/LBM01F10_R1.fastq.gz	./LBM01F10/LBM01F10_R2.fastq.gz	OK	41423441
